time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,ozone
2026-02-17 22:00:00,99.2,94.1,1840.0,73.0,52.0
2026-02-17 23:00:00,99.0,94.3,1780.0,62.6,53.0
2026-02-18 00:00:00,99.9,95.5,1602.0,57.7,49.0
2026-02-18 01:00:00,105.0,100.6,1341.0,54.4,44.0
2026-02-18 02:00:00,113.2,108.3,1137.0,52.2,39.0
2026-02-18 03:00:00,122.5,117.3,1044.0,50.9,33.0
2026-02-18 04:00:00,129.9,125.3,1008.0,50.7,26.0
2026-02-18 05:00:00,132.7,128.1,1090.5,51.4,23.0
2026-02-18 06:00:00,135.5,130.4,1294.0,54.6,20.0
2026-02-18 07:00:00,152.3,146.7,1663.8,58.6,19.0
2026-02-18 08:00:00,155.5,151.3,1983.0,58.2,34.0
2026-02-18 09:00:00,139.7,136.4,1715.0,49.6,78.0
2026-02-18 10:00:00,114.8,109.4,1254.0,36.5,138.0
2026-02-18 11:00:00,86.8,79.6,874.0,25.3,183.0
2026-02-18 12:00:00,69.8,61.7,676.0,17.5,201.0
2026-02-18 13:00:00,63.1,52.9,558.0,11.6,203.0
2026-02-18 14:00:00,58.9,46.3,490.0,8.5,198.0
2026-02-18 15:00:00,55.6,41.9,478.0,10.1,182.0
2026-02-18 16:00:00,53.4,40.7,516.0,14.6,158.0
2026-02-18 17:00:00,54.4,44.2,547.0,18.0,140.0
2026-02-18 18:00:00,,,,,
2026-02-18 19:00:00,,,,,
2026-02-18 20:00:00,,,,,
2026-02-18 21:00:00,,,,,
2026-02-18 22:00:00,,,,,
2026-02-18 23:00:00,,,,,
